tax_block,tax_lot,council_district,address,bldgclass,ownername,unitsres,bbl,borocode,issue_date,violation_type_code,violation_number,violation_category,violation_type,house_maint_code_violate_count,is_tax_lien_sale_eligable,violation_count,has_tax_lien,has_violations,is_residential,unitsres_zero,zombie_score,likely_zombie,borough
1985,58,36.0,39 MONROE STREET,B3,"LINESZY, ALMETER D",2.0,3019850058,3.0,19930816,LL6291,37772,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,0.0,0.0,0.0,0,1,1,0,2.0,0,Brooklyn
7405,52,48.0,2765 OCEAN AVENUE,D1,2765 OCEAN AVENUE REALTY,60.0,3074050052,3.0,20161201,EVCAT1,01659,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST                               ELEVATORREQUIRED,7.0,0.0,7.0,0,1,1,0,5.5,1,Brooklyn
4700,3,45.0,5206 CHURCH AVENUE,S5,GENESIS REALTY NY LLC,5.0,3047000003,3.0,20090101,LL6291,15481,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,14.0,1.0,14.0,1,1,0,0,12.0,1,Brooklyn
5132,56,40.0,1053 FLATBUSH AVENUE,S2,1053 FLATBUSH AVE. LLC.,2.0,3051320056,3.0,no violations,no violations,no violations,no violations,no violations,3.0,0.0,3.0,0,0,0,0,1.5,0,Brooklyn
7928,17,45.0,807 EAST 52 STREET,A5,"ISLAM, MOHAMMED T",1.0,3079280017,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
5583,69,38.0,984 39 STREET,S5,3904 10TH AVE,5.0,3055830069,3.0,20230620,LBLVIO,43469,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,1.0,0.0,1.0,0,1,0,0,2.5,0,Brooklyn
4671,24,41.0,392 ROCKAWAY PARKWAY,C3,"DEUTSCHE BANK NATIONAL TRUST COMPANY, AS  TRUSTEE F",4.0,3046710024,3.0,20110921,AEUHAZ1,00253,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,117.0,1.0,117.0,1,1,1,0,63.5,1,Brooklyn
4666,39,50.0,790 CLAWSON STREET,A1,THE PELLICONE FAMILY TRUST,1.0,5046660039,5.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Staten Island
7620,57,45.0,1256 EAST 21 STREET,W2,EAST MIDWOOD JEWISH C,0.0,3076200057,3.0,20240422,C,24-01134,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,0.0,0.0,0.0,0,1,0,1,3.0,0,Brooklyn
2981,48,49.0,341 HYLAN BOULEVARD,B2,TORRES PRAXEDES A,2.0,5029810048,5.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Staten Island
1832,21,36.0,130 JEFFERSON AVENUE,C1,"MEADOWLAND GROUP, INC.",8.0,3018320021,3.0,20010227,LL6291,16650,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,7.0,1.0,7.0,1,1,1,0,8.5,1,Brooklyn
4702,56,45.0,303 EAST 54 STREET,C2,ALZUBAYDI GROUP INC.,6.0,3047020056,3.0,19930601,LL6291,02112,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,1.0,1.0,1.0,1,1,1,0,5.5,1,Brooklyn
5121,45,20.0,134-47 MAPLE AVENUE,G6,CROWN MANSION LLC,0.0,4051210045,4.0,20130102,AEUHAZ1,01112,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,0.0,1.0,0.0,1,1,0,1,6.0,1,Queens
4452,448,42.0,508 VANDALIA AVENUE,C1,NEHEMIAH SPRING CREEK IV MIXED INCOME HO USING DEVE,8.0,3044520448,3.0,no violations,no violations,no violations,no violations,no violations,0.0,1.0,0.0,1,0,1,0,3.0,0,Brooklyn
5376,58,39.0,515 EAST 7 STREET,D4,515 EAST 7TH STREET CORPORATION,123.0,3053760058,3.0,20170802,BENCH,00395,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK                                            NONE,17.0,0.0,17.0,0,1,1,0,10.5,1,Brooklyn
5596,23,38.0,4217 NEW UTRECHT AVENUE,V1,HUMAN CARE SERVICES FOR FAMILES &  CHILD REN,0.0,3055960023,3.0,20221201,EGRADE,2201410,V-DOB VIOLATION - ACTIVE,EGRADE-FAILURE TO POST ENERGY GRADE/SCORE                              NONE,0.0,1.0,0.0,1,1,0,1,6.0,1,Brooklyn
7566,6,45.0,1387 OCEAN AVENUE,W2,MASORES YAAKOV,0.0,3075660006,3.0,20000619,C,14M04,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,0.0,0.0,0.0,0,1,0,1,3.0,0,Brooklyn
2973,45,49.0,516 TOMPKINS AVENUE,S1,GEORGE K,1.0,5029730045,5.0,19980504,LL6291,35584,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,0.0,0.0,0.0,0,1,0,0,2.0,0,Staten Island
6824,3,48.0,1808 AVENUE R,A9,"BENDEL, HINDY",1.0,3068240003,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
8490,38,46.0,2269 UTICA AVENUE,A9,"FRANCIS, SHANA-KAY",1.0,3084900038,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
16038,68,31.0,64-04 BEACH CHANNEL DRIVE,V1,NURUN REALTY LLC,0.0,4160380068,4.0,no violations,no violations,no violations,no violations,no violations,0.0,1.0,0.0,1,0,0,1,4.0,0,Queens
5045,33,40.0,60 HAWTHORNE STREET,C1,60 GARDEN LLC,8.0,3050450033,3.0,20010606,C,03PV02,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,0.0,0.0,0.0,0,1,1,0,2.0,0,Brooklyn
3867,163,42.0,706 WILLIAMS AVENUE,A5,PATRICIA V. YEARWOOD,1.0,3038670163,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
2017,25,36.0,1156 FULTON STREET,S5,"FULTON FILMS, LLC",5.0,3020170025,3.0,19950829,LL6291,30045,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,3.0,1.0,3.0,1,1,0,0,6.5,1,Brooklyn
1822,13,36.0,138 MADISON STREET,B3,"GODIN, GABRIEL",2.0,3018220013,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
7611,53,45.0,2394 NOSTRAND AVENUE,O2,2394-2392 NOSTRAND AVENUE HOLDINGS,0.0,3076110053,3.0,20230630,LBLVIO,06592,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,0.0,0.0,0.0,0,1,0,1,3.0,0,Brooklyn
8372,30,46.0,7232 ROYCE PLACE,C0,"YARON PINSON, TRUSTEE",3.0,3083720030,3.0,no violations,no violations,no violations,no violations,no violations,1.0,0.0,1.0,0,0,1,0,0.5,0,Brooklyn
5594,13,39.0,1322 41 STREET,C2,"MAZZONE, NICK",6.0,3055940013,3.0,20150303,LBLVIO,07180,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,6.0,0.0,6.0,0,1,1,0,5.0,0,Brooklyn
5141,141,39.0,687 CONEY ISLAND AVENUE,S2,687 REALTY LLC,2.0,3051410141,3.0,20091231,LBLVIO,15666,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,4.0,0.0,4.0,0,1,0,0,4.0,0,Brooklyn
2766,276,17.0,1361 RANDALL AVENUE,E9,MESTOUSIS LLC,0.0,2027660276,2.0,20230630,HBLVIO,01510,V-DOB VIOLATION - ACTIVE,HBLVIO-HIGH PRESSURE BOILER                                            BOILER  REQUIRED,0.0,0.0,0.0,0,1,0,1,3.0,0,Bronx
7973,64,45.0,828 EAST 56 STREET,B1,"THELUSMOND, JEAN MAXO",2.0,3079730064,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
